Longitude, latitude
1.376259, 41.724733
1.376852, 41.724953
1.377424, 41.725180
1.378105, 41.725497
1.378620, 41.725765
1.379037, 41.725994
1.379510, 41.726275
1.379974, 41.726585
1.380568, 41.727008
1.381106, 41.727450
1.381706, 41.727997
1.382041, 41.728348
1.382445, 41.728765
1.382961, 41.729315
1.383516, 41.729884
1.383967, 41.730269
1.384276, 41.730494
1.384894, 41.730895
1.385520, 41.731231
1.386032, 41.731468
1.386581, 41.731692
1.387262, 41.731921
1.387461, 41.731983
1.388665, 41.732299
1.390196, 41.732659
1.391445, 41.732934
1.393173, 41.733277
1.394724, 41.733543
1.395790, 41.733698
1.396469, 41.733769
1.397299, 41.733819
1.398059, 41.733832
1.398820, 41.733809
1.399590, 41.733755
1.400645, 41.733654
1.402477, 41.733489
1.403336, 41.733438
1.404248, 41.733415
1.405150, 41.733418
1.406263, 41.733463
1.407248, 41.733548
1.408005, 41.733626
1.408717, 41.733727
1.409507, 41.733846
1.410344, 41.734010
1.411196, 41.734201
1.412122, 41.734450
1.413150, 41.734758
1.414509, 41.735245
1.416139, 41.735912
1.417399, 41.736437
1.418391, 41.736779
1.419435, 41.737077
1.420099, 41.737218
1.420811, 41.737340
1.421770, 41.737447
1.422694, 41.737504
1.423668, 41.737492
1.424611, 41.737433
1.425476, 41.737331
1.426508, 41.737134
1.427425, 41.736895
1.428617, 41.736522
1.429560, 41.736168
1.430306, 41.735888
1.431147, 41.735567
1.431920, 41.735285
1.432665, 41.735069
1.433369, 41.734913
1.434129, 41.734794
1.434785, 41.734749
1.435517, 41.734737
1.436276, 41.734759
1.436970, 41.734828
1.437797, 41.734966
1.438561, 41.735152
1.439388, 41.735405
1.440335, 41.735713
1.441310, 41.736011
1.442081, 41.736192
1.442936, 41.736342
1.443757, 41.736443
1.444613, 41.736495
1.445667, 41.736502
1.446403, 41.736463
1.447284, 41.736382
1.448102, 41.736256
1.449155, 41.736063
1.449979, 41.735921
1.450513, 41.735853
1.451102, 41.735819
1.451777, 41.735799
1.452399, 41.735815
1.453140, 41.735886
1.454092, 41.736053
1.455027, 41.736281
1.455786, 41.736542
1.456450, 41.736824
1.458164, 41.737595
1.459788, 41.738329
1.461502, 41.739106
1.462476, 41.739539
1.463137, 41.739786
1.463847, 41.739985
1.464544, 41.740133
1.465342, 41.740218
1.465949, 41.740257
1.466548, 41.740261
1.467088, 41.740235
1.467708, 41.740167
1.468315, 41.740065
1.468956, 41.739922
1.469650, 41.739731
1.470405, 41.739488
1.471325, 41.739134
1.473064, 41.738371
1.473554, 41.738184
1.474160, 41.737999
1.474652, 41.737878
1.475286, 41.737766
1.475877, 41.737704
1.476569, 41.737671
1.477221, 41.737634
1.477759, 41.737596
1.478392, 41.737506
1.478983, 41.737377
1.479523, 41.737226
1.480122, 41.737020
1.480725, 41.736793
1.481118, 41.736648
1.481530, 41.736512
1.481870, 41.736422
1.482185, 41.736347
1.482721, 41.736243
1.483399, 41.736137
1.484358, 41.736042
1.484876, 41.735976
1.485393, 41.735878
1.485874, 41.735766
1.486329, 41.735640
1.487105, 41.735353
1.487727, 41.735065
1.488482, 41.734629
1.489377, 41.734025
1.489828, 41.733757
1.490279, 41.733513
1.490762, 41.733292
1.491269, 41.733105
1.491901, 41.732903
1.492517, 41.732752
1.493148, 41.732649
1.493896, 41.732563
1.494579, 41.732549
